NAME,neighbourhood_group,lat,long,cancellation_policy,room type,price,service fee,number of reviews,review rate number
Brooklyn beauty,Brooklyn,40.63153,-73.92616,strict,Entire home/apt,787.0,157.0,10,5.0
"Shay's Place #1
( 1 Bdrm. Apt )
5 mins From JFK",Queens,40.66812,-73.76303,moderate,Entire home/apt,80.0,16.0,240,4.0
"XL Ensuite 5m to Ferry, RUMC, Snug Harbor",Staten Island,40.64393,-74.09312,moderate,Private room,703.0,141.0,1,5.0
Large 2 Bed Woodside apt 10 Minutes from Manhattan,Queens,40.74443,-73.90885,strict,Entire home/apt,657.0,131.0,14,3.0
Good vibes a block from the J,Brooklyn,40.69331,-73.93031,flexible,Private room,306.0,61.0,1,3.0
Cute Williamsburg studio,Brooklyn,40.71645,-73.95721,moderate,Entire home/apt,518.0,104.0,1,3.0
"Sunny, Charming Brooklyn 1 Bedroom!",Brooklyn,40.69035,-73.99633,moderate,Entire home/apt,67.0,13.0,37,3.0
"Luxury 1BR in Times Square ""Urban Oasis""",Manhattan,40.7612,-73.98631,moderate,Entire home/apt,383.0,77.0,12,5.0
Cozy Room with Window View near Times Square,Manhattan,40.75484,-73.9922,moderate,Private room,761.0,152.0,1,2.0
Lovely private bedroom in Manhattan,Manhattan,40.86565,-73.92348,moderate,Private room,217.0,43.0,44,5.0
"Spacious queen bedroom, private bath in Brooklyn",Brooklyn,40.72891,-73.95618,moderate,Private room,978.0,196.0,4,4.0
Chic & Cosy Lower East Side Apartment,Manhattan,40.71704,-73.99081,flexible,Private room,577.0,115.0,2,3.0
3 Bedroom Luxury Apt. Clean & Great Location!,Manhattan,40.76047,-73.99088,moderate,Entire home/apt,387.0,77.0,3,3.0
Charming 1BR in Lively Bed-Stuy neighborhood,Brooklyn,40.68251,-73.94102,strict,Entire home/apt,492.0,98.0,18,5.0
Families & Couples-2 BR+playroom (4beds),Brooklyn,40.66043,-73.98609,flexible,Entire home/apt,598.0,120.0,19,2.0
Williamsburg 1br APT,Brooklyn,40.71518,-73.94571,flexible,Entire home/apt,498.0,100.0,36,2.0
"Bright, cozy getaway in the center of all..",Manhattan,40.76088,-73.99081,strict,Entire home/apt,151.0,30.0,25,4.0
Excellent big room in cypress hills,Brooklyn,40.68507,-73.87198,moderate,Private room,620.0,124.0,36,2.0
1785 The Oldest Row House in New York.,Manhattan,40.71399,-73.99707,strict,Entire home/apt,624.0,125.0,15,1.0
Midwood,Brooklyn,40.62483,-73.97437,strict,Private room,268.0,54.0,1,3.0
Inspired Space on Troutman,Brooklyn,40.69862,-73.93066,moderate,Private room,278.0,56.0,7,2.0
Sunny room with private bathroom,Manhattan,40.80667,-73.95562,flexible,Private room,201.0,40.0,53,4.0
Ideal Brooklyn Brownstone Apartment,Brooklyn,40.68186,-73.94113,moderate,Entire home/apt,644.0,129.0,123,2.0
Luggage/Shower Depot!!!/US Open/LGA/JFK,Queens,40.75024,-73.87849,moderate,Shared room,677.0,135.0,15,1.0
Bed-Stuy modern private room near Williamsburg,Brooklyn,40.69294,-73.9398,moderate,Private room,355.0,71.0,3,5.0
Sunny Spacious South Slope Studio,Brooklyn,40.66248,-73.99667,moderate,Entire home/apt,337.0,67.0,3,4.0
White space with 0min to bus stop,Brooklyn,40.69482,-73.96419,moderate,Shared room,328.0,66.0,197,2.0
Gorgeous NYC apt.  near everything! (Women only),Manhattan,40.74985,-73.98152,moderate,Private room,587.0,117.0,13,5.0
4-Floor Unique Event Space 50P Cap. - #10299B,Manhattan,40.82511,-73.94961,flexible,Entire home/apt,729.0,146.0,2,2.0
"Chic, light-filled Sugar Hill 1 bedroom",Manhattan,40.82608,-73.94231,strict,Entire home/apt,624.0,125.0,12,3.0
Authentic place in West Village,Manhattan,40.73239,-74.00257,strict,Entire home/apt,431.0,86.0,42,2.0
Cute NYC Getaway,Queens,40.7289,-73.7932,moderate,Entire home/apt,936.0,187.0,30,5.0
Amazing 2BR/2BA PH with terrace - Upper East Side,Manhattan,40.77162,-73.95949,strict,Entire home/apt,886.0,177.0,2,3.0
MedRoom 444-10,Brooklyn,40.69267,-73.95132,moderate,Private room,579.0,116.0,1,4.0
Elevated Bushwick Apartment w/360 Brooklyn Views,Brooklyn,40.6989,-73.9246,strict,Entire home/apt,328.0,66.0,19,5.0
Studio Apartment near Columbia Uni,Manhattan,40.80191,-73.9688,moderate,Entire home/apt,192.0,38.0,2,4.0
East Village Townhouse,Manhattan,40.73118,-73.98885,strict,Entire home/apt,260.0,52.0,24,5.0
Private Room at - Urban Jungle-,Brooklyn,40.673,-73.92391,strict,Entire home/apt,80.0,16.0,10,3.0
"New York Brooklyn Midwood Area
PRIVATE ROOM",Brooklyn,40.62636,-73.9627,strict,Private room,130.0,26.0,21,1.0
1 Bed in a 6-Bed Mixed Gender Dorm with Private Bathroom,Queens,40.749435,-73.94783,flexible,Shared room,695.0,139.0,39,4.0
Super Cute Family Friendly Cozy Loft Suite For 2-4,Manhattan,40.71838,-74.00495,moderate,Entire home/apt,706.0,141.0,1,3.0
Gorgeous Harlem 1br best location,Manhattan,40.80854,-73.94305,strict,Entire home/apt,656.0,131.0,1,5.0
Beach-side basement media room,Staten Island,40.56629,-74.10331,flexible,Private room,900.0,180.0,18,4.0
Franklin Ave Stay,Brooklyn,40.67254,-73.95541,strict,Private room,706.0,141.0,9,5.0
Spacious and Comfy one large bedroom in Upper East,Manhattan,40.76927,-73.949,strict,Entire home/apt,198.0,40.0,25,1.0
Cheerful & spacious 1-bedroom by Columbia Medical.,Manhattan,40.84693,-73.94205,strict,Entire home/apt,393.0,79.0,1,4.0
"Lovely 1-bedroom 
Casa Particular in Queens",Queens,40.70307,-73.86979,flexible,Private room,232.0,46.0,8,2.0
Spacious Bedroom With Queen-Size Bed,Brooklyn,40.69657,-73.94578,flexible,Private room,826.0,165.0,1,3.0
Single private Bedroom in a beautiful House,Bronx,40.81728,-73.86343,strict,Private room,954.0,191.0,5,5.0
The Bush-Suite,Brooklyn,40.70343,-73.92009,moderate,Entire home/apt,761.0,152.0,2,5.0
IMMACULATE 1-BDRM UPPER MANHATTAN,Manhattan,40.83406,-73.94731,moderate,Entire home/apt,729.0,146.0,13,1.0
Minimalist East Village Apartment!,Manhattan,40.72306,-73.98148,strict,Entire home/apt,687.0,137.0,2,2.0
"Charming, Sunny Room in Amazing LES",Manhattan,40.7192,-73.98431,strict,Private room,874.0,175.0,3,5.0
Bright/Large 1BR near Central Park,Manhattan,40.79008,-73.97291,strict,Entire home/apt,650.0,130.0,18,3.0
Fantastic Master Bedroom,Brooklyn,40.65678,-73.95154,strict,Private room,675.0,135.0,5,2.0
⭐︎⭐︎PRIVATE Bathroom⭐︎⭐︎2min to subway+huge living,Queens,40.74267,-73.90354,moderate,Private room,302.0,60.0,1,5.0
"NYC Couch Crashers, Travelers, Tourists & Nomads",Queens,40.74457,-73.92307,flexible,Shared room,821.0,164.0,25,3.0
Waterfront Wonder,Brooklyn,40.71866,-73.96417,flexible,Private room,903.0,181.0,1,3.0
The Brooklyn Vibe,Brooklyn,40.65825,-73.96073,moderate,Entire home/apt,128.0,26.0,83,5.0
Cozy Room in Beautiful Brooklyn,Brooklyn,40.68895,-73.96902,strict,Private room,296.0,59.0,10,5.0
Idealistic Inwood,Manhattan,40.86496,-73.9262,moderate,Entire home/apt,297.0,59.0,15,1.0
"LOCATION ,LOCATION, LOCATION. Close to all",Queens,40.68544,-73.84474,strict,Entire home/apt,773.0,155.0,5,5.0
"Luxury Studio, Large Private Terrace near Times Sq",Manhattan,40.75229,-73.9955,moderate,Entire home/apt,863.0,173.0,1,3.0
Heavenly Pad!!!,Bronx,40.88032,-73.85877,moderate,Private room,240.0,48.0,33,4.0
Private Room in Artsy Lower Manhattan Apartment,Manhattan,40.71287,-73.99811,moderate,Private room,334.0,67.0,17,5.0
Soaring Space in Laid-back Brooklyn,Brooklyn,40.69787,-73.93202,moderate,Private room,568.0,114.0,8,3.0
Sonder | Stock Exchange | Calming 3BR + Laundry,Manhattan,40.7075,-74.01179,strict,Entire home/apt,176.0,35.0,8,3.0
Cozy apartment in heart of Manhattan!!,Manhattan,40.74953,-73.97802,moderate,Entire home/apt,301.0,60.0,7,3.0
Nice 1 Bedroom Apartment China town,Manhattan,40.71474,-73.99778,flexible,Entire home/apt,821.0,164.0,15,5.0
VINTAGE COZY PLACE,Manhattan,40.82426,-73.95231,strict,Entire home/apt,287.0,57.0,8,2.0
Trendy 2BR Apt Next to Prospect Park -Kid Friendly,Brooklyn,40.65813,-73.95773,flexible,Entire home/apt,246.0,49.0,9,3.0
Best Room in Bay Ridge,Brooklyn,40.62939,-74.02375,strict,Private room,518.0,104.0,7,4.0
Master bedroom/20min Manhattan/individual bathroom,Queens,40.74246,-73.90125,flexible,Private room,937.0,187.0,7,2.0
Bedroom in the <3 of Astoria close to the city,Queens,40.76792,-73.91191,moderate,Private room,880.0,176.0,23,4.0
Cozy & Large Corner Flex 2BR Loft,Brooklyn,40.72525,-73.9418,strict,Entire home/apt,641.0,128.0,6,1.0
靓房,Queens,40.76868,-73.78871,flexible,Private room,205.0,41.0,16,3.0
Queen Cabin with Window One,Manhattan,40.72288,-73.99466,flexible,Private room,344.0,69.0,19,1.0
Cozy LARGE NYC Bedroom w/homeoffice,Queens,40.75873,-73.76244,moderate,Private room,290.0,58.0,3,3.0
BunkBeds 5 min to NYC 900Mb Full Closet,Queens,40.75713,-73.91334,flexible,Private room,814.0,163.0,1,5.0
Cozy Zen Brooklyn Bedroom,Brooklyn,40.66507,-73.95699,strict,Private room,558.0,112.0,11,3.0
E Williamsburg Apartment with Yard,Brooklyn,40.71143,-73.94159,moderate,Private room,459.0,92.0,98,5.0
Beuty full bedroom,Queens,40.73661,-73.90021,moderate,Private room,509.0,102.0,6,4.0
West Village on the Hudson River,Manhattan,40.73212,-74.01051,strict,Entire home/apt,117.0,23.0,1,5.0
Huge 1 bedroom apartment with private deck!,Brooklyn,40.71263,-73.9581,strict,Entire home/apt,463.0,93.0,6,4.0
Peaceful Room...,Brooklyn,40.6339,-74.02035,strict,Private room,327.0,65.0,72,3.0
Relaxing Home for your NY Trip,Brooklyn,40.61625,-73.9916,strict,Private room,104.0,21.0,9,2.0
Quiet short stay at condo,Brooklyn,40.65805,-73.8778,strict,Private room,906.0,181.0,4,4.0
Cozy home in Bayside,Queens,40.76124,-73.76178,strict,Private room,246.0,49.0,62,2.0
1BEDROOM AT YANKEE STADUIM,Bronx,40.82855,-73.91856,strict,Private room,570.0,114.0,9,5.0
Sweet Super Bowl Accomodations,Manhattan,40.73727,-74.00213,strict,Entire home/apt,502.0,100.0,1,2.0
Prime Park Slope Room (10 min. train to Lower NYC),Brooklyn,40.67127,-73.99006,moderate,Private room,964.0,193.0,97,1.0
Entire cozy 1 bedroom apartment,Manhattan,40.71643,-73.98967,moderate,Entire home/apt,888.0,178.0,33,5.0
Beautiful apt up in the heights,Manhattan,40.83839,-73.93819,moderate,Private room,696.0,139.0,12,5.0
"Spacious apartment, 20 mins to Manhattan",Queens,40.70147,-73.9047,flexible,Entire home/apt,506.0,101.0,1,5.0
Peaceful Sanctuary in the heart of the action,Manhattan,40.72412,-73.98283,moderate,Entire home/apt,59.0,12.0,16,2.0
"Sunny apartment, great amenties and transporation.",Manhattan,40.81138,-73.95442,moderate,Entire home/apt,52.0,10.0,22,5.0
"Spacious, Sunny Brooklyn 2BR Duplex Apartment",Brooklyn,40.68265,-73.94466,moderate,Entire home/apt,341.0,68.0,18,2.0
BEAUTIFUL 1 BEDROOM,Manhattan,40.84531,-73.93583,strict,Private room,416.0,83.0,9,4.0
Chic Designer’s Room & 2 Beds in Manhattan LES,Manhattan,40.71254,-73.98535,strict,Private room,337.0,67.0,231,5.0
Charming Room 1 with 2 Beds Close to Metro,Brooklyn,40.6847,-73.95532,strict,Private room,432.0,86.0,23,5.0
These Streets Will Make You Feel Brand New 04,Manhattan,40.80346,-73.96459,strict,Private room,295.0,59.0,11,5.0
Huge Loft with Private Entrance,Manhattan,40.72823,-73.98933,flexible,Entire home/apt,723.0,145.0,20,2.0
AFFORDABLE & COZY IN SUNSET PARK,Brooklyn,40.64985,-74.00207,strict,Private room,943.0,189.0,26,2.0
Large 1 Bedroom Apt in Park Slope,Brooklyn,40.66928,-73.98662,moderate,Entire home/apt,516.0,103.0,3,2.0
Charming Cobble Hill/Brooklyn Heights Apartment,Brooklyn,40.68926,-73.99463,moderate,Entire home/apt,457.0,91.0,65,4.0
Luxury apt in the heart of Williamsburg,Brooklyn,40.71529,-73.95442,moderate,Entire home/apt,392.0,78.0,15,2.0
Charming 1 BR in Heart of Nolita,Manhattan,40.72291,-73.9945,moderate,Entire home/apt,483.0,97.0,6,4.0
Beautiful Ground Floor Upper East Side Apartment,Manhattan,40.76453,-73.95867,flexible,Entire home/apt,363.0,73.0,1,2.0
Big 1 Bedrm Apt with Washer/ Drier/ Balcony,Manhattan,40.73025,-73.9882,strict,Entire home/apt,637.0,127.0,59,3.0
Quiet 1bedroom apartment,Manhattan,40.7588,-73.9922,flexible,Entire home/apt,338.0,68.0,23,2.0
GREAT ROOM Fast 2 TIMES SQ 9min NYC,Queens,40.74997,-73.9397,moderate,Private room,719.0,144.0,148,5.0
"Spacious, Affordable 1BR Apartment in Brooklyn",Brooklyn,40.64286,-73.94839,moderate,Entire home/apt,991.0,198.0,8,2.0
Spacious and welcoming 1 bedroom apt,Brooklyn,40.65308,-73.95109,strict,Entire home/apt,874.0,175.0,67,5.0
BedStuy Penthouse Duplex 1BR,Brooklyn,40.68417,-73.95343,moderate,Entire home/apt,171.0,34.0,1,5.0
PRIVATE MODERN ENTIRE APT FOR YOU,Brooklyn,40.64683,-73.95429,moderate,Entire home/apt,818.0,164.0,58,3.0
Serene Cozy Brooklyn Apartment,Brooklyn,40.68629,-73.93082,moderate,Entire home/apt,661.0,132.0,3,2.0
Newly Renovated Brownstone 1BR with Private Deck,Brooklyn,40.68409,-73.93827,flexible,Entire home/apt,649.0,130.0,7,4.0
Best value,Brooklyn,40.66281,-73.88899,strict,Entire home/apt,613.0,123.0,2,2.0
"Perfect location, Bushwick Full room in 2 room apt",Brooklyn,40.69895,-73.93249,strict,Private room,350.0,70.0,26,3.0
"Cozy Corner, Save Money in Midtown NYC!",Manhattan,40.75651,-73.96978,moderate,Shared room,575.0,115.0,24,5.0
"Stunning 1 BR Apartment, in the heart of Brooklyn!",Brooklyn,40.68361,-73.93515,moderate,Entire home/apt,579.0,116.0,3,3.0
"Spacious 2 BR Clinton Hill Apartment-Brooklyn, NY",Brooklyn,40.67923,-73.96286,strict,Entire home/apt,823.0,165.0,216,2.0
Private Hell's Kitchen Two person room,Manhattan,40.76179,-73.99403,strict,Private room,970.0,194.0,161,1.0
Paris in Manhattan with 2 balconies,Manhattan,40.76923,-73.95034,flexible,Entire home/apt,447.0,89.0,14,5.0
Charming 1 Bedroom Apartment in Clinton Hill,Brooklyn,40.68729,-73.96124,moderate,Entire home/apt,756.0,151.0,67,4.0
PRIVACY SUITE ROOM WITH PRIVATE BATHROOM,Brooklyn,40.68663,-73.93792,flexible,Private room,704.0,141.0,98,5.0
CLEAN & COZY 2 bedroom apartment,Manhattan,40.72995,-73.98135,flexible,Entire home/apt,773.0,155.0,101,2.0
"Private Bath, Cozy Sunset Terrace Room",Queens,40.58989,-73.79117,moderate,Private room,361.0,72.0,25,1.0
Light Filled Studio Apartment,Manhattan,40.86464,-73.92768,strict,Entire home/apt,562.0,112.0,7,5.0
Spacious 1BR in Prime Williamsburg,Brooklyn,40.71932,-73.95446,flexible,Entire home/apt,749.0,150.0,1,1.0
1.Nice Room near La Guardia AirPort NYC,Queens,40.76599,-73.8693,moderate,Private room,114.0,23.0,51,4.0
BEAUTIFUL CONDO IN TIMES SQUARE,Manhattan,40.76054,-73.98508,strict,Entire home/apt,69.0,14.0,11,5.0
Awesome Private Room with 2 Beds Near 2 Metros,Brooklyn,40.70598,-73.9406,strict,Private room,203.0,41.0,83,5.0
In the Heart of Astoria,Queens,40.77248,-73.91665,flexible,Entire home/apt,523.0,105.0,1,2.0
"Nice small room for 1 person, near Times Square!",Manhattan,40.75731,-73.98435,moderate,Private room,909.0,182.0,122,5.0
Perfect Cobble Hill Apartment for Two,Brooklyn,40.68687,-73.99471,strict,Entire home/apt,884.0,177.0,15,5.0
Colorful & cozy studio in Brooklyn,Brooklyn,40.64016,-73.96784,moderate,Entire home/apt,945.0,189.0,2,3.0
Large Sunny Room,Brooklyn,40.64448,-73.89222,strict,Private room,118.0,24.0,72,2.0
Private Huge 2br Williamsburg Artist Apartment!,Brooklyn,40.71471,-73.94045,flexible,Entire home/apt,143.0,29.0,87,1.0
Convenient New York Room. Full-Size Bed Near 69St,Queens,40.74191,-73.89255,strict,Private room,350.0,70.0,4,5.0
Bedroom with private access to patio,Brooklyn,40.68522,-73.93711,flexible,Private room,77.0,15.0,8,2.0
Spacious Three Bedroom Dream in Manhattan,Manhattan,40.81968,-73.9458,strict,Entire home/apt,539.0,108.0,138,1.0
Timesquare SPotlight Apartment! Monthly Specials!,Manhattan,40.76434,-73.99464,flexible,Entire home/apt,987.0,197.0,8,3.0
Full 1BR Apartment in Park Slope,Brooklyn,40.66481,-73.98367,moderate,Entire home/apt,202.0,40.0,77,2.0
"Spacious, unique apt - see reviews! Last minute ok",Manhattan,40.72361,-73.98775,flexible,Entire home/apt,139.0,28.0,35,4.0
Newly Decorated Harlem Haven,Manhattan,40.81773,-73.94357,moderate,Entire home/apt,697.0,139.0,8,4.0
"Private, Comfy Room, 2 blocks from Central Park",Manhattan,40.80036,-73.95433,flexible,Private room,925.0,185.0,50,2.0
Bright and Spacious Brooklyn Loft,Brooklyn,40.67917,-74.00608,moderate,Entire home/apt,600.0,120.0,17,5.0
RENOVATED APT NEXT TO EXPRESS TRAIN,Manhattan,40.826,-73.94314,moderate,Private room,964.0,193.0,5,2.0
Private Cozy Room In Modern Spacious Duplex Apt,Brooklyn,40.68856,-73.94444,moderate,Private room,258.0,52.0,30,2.0
Luxury Master Bedroom in Prime Brooklyn,Brooklyn,40.70179,-73.92379,strict,Entire home/apt,431.0,86.0,2,2.0
Clean Airy 1-Bedroom Apartment in Gowanus,Brooklyn,40.66871,-73.99038,flexible,Entire home/apt,640.0,128.0,1,3.0
Spacious Flat in the Heart of Greenwich Village,Manhattan,40.73021,-74.00091,flexible,Private room,217.0,43.0,7,2.0
Water Front Building - Bright/Luxury 1 BR,Brooklyn,40.72865,-73.95937,moderate,Entire home/apt,428.0,86.0,17,4.0
City Zen Apartment in Brooklyn,Brooklyn,40.68956,-73.90599,moderate,Entire home/apt,828.0,166.0,72,3.0
Big Spacious Room - North Manhattan,Manhattan,40.84877,-73.93515,flexible,Private room,223.0,45.0,1,2.0
Sunny Williamsburg 1 BR near Peter Luger's,Brooklyn,40.7108,-73.9618,moderate,Entire home/apt,367.0,73.0,3,2.0
Sonder | Stock Exchange | Warm 1BR + Laundry,Manhattan,40.70645,-74.0118,flexible,Entire home/apt,558.0,112.0,3,2.0
Gem in Bronx,Bronx,40.80857,-73.85073,flexible,Entire home/apt,126.0,25.0,2,4.0
Comfy room in vibrant East Village,Manhattan,40.72418,-73.98283,flexible,Private room,231.0,46.0,172,4.0
Photo Studio & Creative Space,Manhattan,40.72095,-73.99756,moderate,Entire home/apt,784.0,157.0,1,4.0
BR/Private Bath 10Mins to TIME SQ,Manhattan,40.8095,-73.95395,moderate,Private room,939.0,188.0,171,3.0
Lovely Lofted Artist's Room,Brooklyn,40.69133,-73.9426,strict,Private room,648.0,130.0,2,4.0
Rustic Meets Shabby Chic- Georgous 2 Bedroom,Bronx,40.84279,-73.86527,strict,Entire home/apt,69.0,14.0,98,5.0
"Private Room, Bright, Waterfront! Fantastic view!!",Manhattan,40.75829,-73.95295,moderate,Private room,853.0,171.0,35,5.0
Glendale apartment,Queens,40.69991,-73.88952,moderate,Private room,164.0,33.0,17,5.0
Entire floor of duplex.Private entrance & 1/2 bath,Brooklyn,40.70167,-73.91291,strict,Private room,318.0,64.0,1,5.0
Mayor's Mansion - Fort Greene,Brooklyn,40.68585,-73.97016,flexible,Entire home/apt,648.0,130.0,134,3.0
"#2,单间双人房,(共用卫生间)",Queens,40.75547,-73.83547,flexible,Private room,245.0,49.0,24,2.0
Huge & Cozy Studio in the Upper East Side,Manhattan,40.76044,-73.96097,flexible,Entire home/apt,436.0,87.0,3,4.0
407 West 51-Junior 1 Bedroom apartment,Manhattan,40.76351,-73.98935,moderate,Entire home/apt,919.0,184.0,2,4.0
"Sunny, Large, Completly Private Room!",Brooklyn,40.68891,-73.91359,flexible,Private room,956.0,191.0,2,4.0
Peaceful Room in Dumbo Art Loft,Brooklyn,40.70429,-73.98773,strict,Private room,766.0,153.0,152,3.0
West Village Cozy Studio,Manhattan,40.73041,-74.00251,strict,Entire home/apt,223.0,45.0,5,5.0
Artists Loft in Chelsea,Manhattan,40.74963,-74.006,moderate,Entire home/apt,290.0,58.0,1,4.0
Spacious room in relaxing 2 BDR UWS apartment,Manhattan,40.79858,-73.97301,flexible,Private room,603.0,121.0,4,3.0
Spacious 2 Br Apt in prime Fort Greene Brownstone,Brooklyn,40.68779,-73.97174,moderate,Entire home/apt,536.0,107.0,5,5.0
15% discount; couple's retreat; modern; spacious,Brooklyn,40.68257,-73.90758,flexible,Entire home/apt,690.0,138.0,333,2.0
Clean cozy overnight bed in Manhattan,Manhattan,40.79873,-73.94052,flexible,Shared room,192.0,38.0,51,2.0
UNTITLED at Freeman-Charming Studio 511,Manhattan,40.72099,-73.9935,moderate,Entire home/apt,203.0,41.0,12,2.0
The Home away from home!!!!,Brooklyn,40.6849,-73.91811,strict,Entire home/apt,372.0,74.0,30,2.0
Bright room with private bathroom,Manhattan,40.83428,-73.94738,moderate,Private room,815.0,163.0,25,5.0
2 Bedroom Garden Apartment in Brooklyn,Brooklyn,40.68807,-73.93634,strict,Entire home/apt,521.0,104.0,42,4.0
Shared Room in Manhattan,Manhattan,40.76436,-73.99153,strict,Shared room,911.0,182.0,20,4.0
Private Room in Homey Roosevelt Island Apartment,Manhattan,40.76208,-73.94954,moderate,Private room,499.0,100.0,85,2.0
Stunning Brooklyn Brownstone,Brooklyn,40.67761,-73.97667,moderate,Entire home/apt,153.0,31.0,20,3.0
Beautiful Large Studio in the Heart of Park Slope,Brooklyn,40.67123,-73.9779,strict,Entire home/apt,674.0,135.0,11,5.0
Pretty Brooklyn One-Bedroom for 2 to 4 people,Brooklyn,40.6781,-73.90822,strict,Entire home/apt,387.0,77.0,50,4.0
Charming 1 bdr apt. just 17 mins from MANHATTAN!,Queens,40.74663,-73.89653,strict,Entire home/apt,65.0,13.0,1,1.0
Spacious Room in Uptown Manhattan,Manhattan,40.83299,-73.94527,moderate,Private room,614.0,123.0,8,5.0
"LOCATION/garden!(FEMALE only, next to girl's room)",Brooklyn,40.6787,-73.97065,moderate,Private room,981.0,196.0,138,1.0
Ideal Greenpoint Location,Brooklyn,40.72123,-73.95357,flexible,Entire home/apt,876.0,175.0,6,4.0
Lovely  sunshine one bedroom in Queens,Queens,40.76674,-73.92521,moderate,Private room,447.0,89.0,15,4.0
STUDIO APT 1. IN PROSPECT LEFFERTS GARDENS,Brooklyn,40.65908,-73.96125,strict,Entire home/apt,690.0,138.0,117,5.0
East Village Penthouse - Private Bedroom,Manhattan,40.7301,-73.98239,flexible,Private room,397.0,79.0,32,2.0
Spacious 2-bedroom townhouse apt in Clinton Hill,Brooklyn,40.68451,-73.96052,flexible,Entire home/apt,667.0,133.0,29,4.0
Room by park · 3 stops to Manhattan by D/N express,Brooklyn,40.64852,-73.99972,flexible,Private room,910.0,182.0,144,2.0
Huge Brooklyn Bedroom,Brooklyn,40.69585,-73.93335,flexible,Private room,703.0,141.0,3,4.0
S & M Cozy Abode: JFK/LGA minutes away,Brooklyn,40.66913,-73.85814,moderate,Entire home/apt,977.0,195.0,14,3.0
Luxurious  Apt2 with Manhattan views on roof deck,Brooklyn,40.67638,-73.98278,moderate,Entire home/apt,319.0,64.0,16,5.0
Sunny Artist's Loft,Brooklyn,40.69151,-73.96059,flexible,Entire home/apt,432.0,86.0,2,5.0
I love Brooklyn private 1-br apartment,Brooklyn,40.64802,-73.95608,moderate,Entire home/apt,592.0,118.0,66,4.0
Spacious Sunny EV Studio Perfect 4 Business/Travel,Manhattan,40.72259,-73.98472,moderate,Entire home/apt,482.0,96.0,6,5.0
"Large, Sunny 25 min to Central Park",Bronx,40.87184,-73.88622,moderate,Private room,691.0,138.0,109,2.0
Cherry Blossom Apartment,Queens,40.75535,-73.91397,moderate,Entire home/apt,896.0,179.0,2,3.0
"Spacious studio, centrally located to all of NYC",Manhattan,40.76521,-73.96491,flexible,Entire home/apt,68.0,14.0,2,3.0
Bright Studio with Peaceful Private Terrace,Brooklyn,40.66246,-73.9933,strict,Entire home/apt,552.0,110.0,8,5.0
Spacious Studio Apt | Walk + Transit score 100,Brooklyn,40.66097,-73.9319,moderate,Entire home/apt,375.0,75.0,15,5.0
THE LINCOLN PARLOR,Brooklyn,40.66946,-73.95008,strict,Entire home/apt,638.0,128.0,115,1.0
Holiday sublet in beautiful bed stuy!,Brooklyn,40.68029,-73.94482,strict,Private room,704.0,141.0,1,5.0
"NEW - STEPS TO SUBWAY, NO STOP TO MANHATTAN!",Queens,40.74625,-73.90311,strict,Entire home/apt,428.0,86.0,1,2.0
Chic Apartment in East Harlem,Manhattan,40.79643,-73.93429,flexible,Private room,69.0,14.0,30,2.0
"Private Room, Private Bath, 7 mins to Manhattan",Queens,40.75503,-73.93505,flexible,Private room,566.0,113.0,71,4.0
Entire apartment 2 beds/2baths with Rooftop !,Manhattan,40.80545,-73.95489,strict,Private room,226.0,45.0,3,3.0
Calm airy top floor W'burgh 1.5 bed,Brooklyn,40.71776,-73.94538,strict,Entire home/apt,985.0,197.0,30,4.0
Steps 2 Empire State Building  amazing studio NYC,Manhattan,40.74688,-73.97813,strict,Entire home/apt,945.0,189.0,100,1.0
Quiet Front Bedroom in 4BR Park Slope Home,Brooklyn,40.66625,-73.9884,moderate,Private room,815.0,163.0,1,5.0
Exposed Brick Wall Bedroom,Manhattan,40.72493,-74.00193,strict,Private room,978.0,196.0,191,5.0
3 Bedroom Spacious Apartment,Bronx,40.80143,-73.91353,flexible,Entire home/apt,141.0,28.0,11,3.0
Skylight Room in BK Duplex in Williamsburg,Brooklyn,40.71413,-73.94868,moderate,Private room,296.0,59.0,32,4.0
Studio apartment in Brooklyn,Brooklyn,40.69359,-73.93402,strict,Entire home/apt,112.0,22.0,1,5.0
Big and Well Appointed NYC 1 Bdrm,Manhattan,40.77097,-73.98083,flexible,Entire home/apt,563.0,113.0,27,3.0
Private room close to Manhattan (L and M train),Brooklyn,40.70483,-73.92565,flexible,Private room,431.0,86.0,1,4.0
Townhouse w/Porch and Courtyard,Brooklyn,40.63703,-73.9316,strict,Entire home/apt,67.0,13.0,38,5.0
Small but cozy room near Park and Subway,Brooklyn,40.66458,-73.98722,flexible,Private room,288.0,58.0,70,2.0
"20min To Times Square, 10min LGA",Queens,40.78088,-73.90819,strict,Private room,315.0,63.0,178,2.0
Railroad Style 1 B.R. Astoria Bachelor Pad,Queens,40.75989,-73.91343,flexible,Entire home/apt,752.0,150.0,6,2.0
Perfect Grand Central apartment,Manhattan,40.75083,-73.97271,strict,Entire home/apt,879.0,176.0,21,5.0
Your edgy Residence in LES!,Manhattan,40.71952,-73.98546,strict,Entire home/apt,462.0,92.0,3,4.0
2BR + Balcony in Williamsburg close to Domino Park,Brooklyn,40.71139,-73.96404,moderate,Entire home/apt,74.0,15.0,7,5.0
Renovated & Spacious Apt.,Brooklyn,40.65577,-73.95903,flexible,Entire home/apt,606.0,121.0,7,4.0
